GENESIS-Tabelle: 13211-0002
Arbeitslose, Arbeitslosenquoten, Gemeldete Arbeitsstellen,;;;;;;;;
Kurzarbeiter, Kurzarbeitende Betriebe: Deutschland/;;;;;;;;
Früheres Bundesgebiet/Neue Länder, Monate;;;;;;;;
Arbeitsmarktstatistik der Bundesagentur für Arbeit;;;;;;;;
;;;Arbeitslose;Arbeitslosenquote aller zivilen Erwerbspersonen;Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Gemeldete Arbeitsstellen;Kurzarbeiter;Kurzarbeitende Betriebe
;;;Anzahl;Prozent;Prozent;Anzahl;Anzahl;Anzahl
Insgesamt;2024;Februar;...;...;...;...;-;-
Insgesamt;2024;März;...;...;...;...;-;-
Insgesamt;2024;April;...;...;...;...;-;-
Insgesamt;2024;Mai;...;...;...;...;-;-
Insgesamt;2024;Juni;...;...;...;...;-;-
Insgesamt;2024;Juli;...;...;...;...;-;-
Insgesamt;2024;August;...;...;...;...;-;-
Insgesamt;2024;September;...;...;...;...;-;-
Insgesamt;2024;Oktober;...;...;...;...;-;-
Insgesamt;2024;November;...;...;...;...;-;-
Insgesamt;2024;Dezember;...;...;...;...;-;-
Früheres Bundesgebiet;2015;Januar;2160458;6,2;6,9;389074;256231;31381
Früheres Bundesgebiet;2015;Februar;2152973;6,2;6,9;415817;274453;34147
Früheres Bundesgebiet;2015;März;2097264;6,0;6,7;434250;191623;25112
Früheres Bundesgebiet;2015;April;2043887;5,8;6,5;443471;55344;3818
Früheres Bundesgebiet;2015;Mai;1995124;5,6;6,3;448122;48190;3468
Früheres Bundesgebiet;2015;Juni;1968758;5,6;6,2;461060;48866;3424
Früheres Bundesgebiet;2015;Juli;2018515;5,7;6,3;475007;41424;3074
Früheres Bundesgebiet;2015;August;2042054;5,8;6,4;480997;33972;2620
Früheres Bundesgebiet;2015;September;1978579;5,6;6,2;482959;42815;2902
Früheres Bundesgebiet;2015;Oktober;1929878;5,5;6,1;490802;50359;3088
Früheres Bundesgebiet;2015;November;1915746;5,4;6,0;489717;55506;3450
Früheres Bundesgebiet;2015;Dezember;1942796;5,5;6,1;473803;141626;17608
Früheres Bundesgebiet;2016;Januar;2111455;6,0;6,6;464014;263685;33595
Früheres Bundesgebiet;2016;Februar;2107446;6,0;6,6;490118;268129;33467
Früheres Bundesgebiet;2016;März;2065274;5,8;6,5;506350;192703;26011
Früheres Bundesgebiet;2016;April;2004138;5,7;6,3;511159;54884;3533
Früheres Bundesgebiet;2016;Mai;1954865;5,5;6,1;525057;45920;3211
Früheres Bundesgebiet;2016;Juni;1927757;5,4;6,0;533630;44283;3225
Früheres Bundesgebiet;2016;Juli;1970547;5,5;6,1;543080;36460;2762
Früheres Bundesgebiet;2016;August;1997640;5,6;6,2;551444;40090;2497
Früheres Bundesgebiet;2016;September;1942075;5,4;6,0;553516;37268;2630
Früheres Bundesgebiet;2016;Oktober;1888409;5,3;5,9;558301;41008;2653
Früheres Bundesgebiet;2016;November;1877448;5,3;5,8;549756;42296;2911
Früheres Bundesgebiet;2016;Dezember;1897010;5,3;5,9;528884;139035;19775
Früheres Bundesgebiet;2017;Januar;2047733;5,7;6,3;519159;290882;36738
Früheres Bundesgebiet;2017;Februar;2039396;5,7;6,3;540830;253084;31597
Früheres Bundesgebiet;2017;März;1974085;5,5;6,1;554882;171258;23026
Früheres Bundesgebiet;2017;April;1916627;5,4;5,9;567397;31731;2389
Früheres Bundesgebiet;2017;Mai;1871094;5,2;5,7;575544;29490;2304
Früheres Bundesgebiet;2017;Juni;1857130;5,1;5,7;590130;27313;2142
