year,month,total,male,female,under_20_years,under_25_years,55_years_older,long_term_unemployed,severely_disabled,foreigners
2018,November,2186109,1198806,987301,41678,188416,474446,764453,151814,603404
2018,Dezember,2209546,1224682,984864,40745,186977,480712,754070,152170,605240
2019,Januar,2405586,1358706,1046879,41291,202224,523847,773895,160110,655407
2019,Februar,2372700,1348930,1023769,41718,210034,513762,755820,156872,650926
2019,März,2301121,1298528,1002591,40789,203982,498922,746186,154809,639535
2019,April,2228876,1246013,982859,39112,194450,482466,732708,152687,626063
2019,Mai,2235969,1243285,992681,38284,191349,482754,733266,155131,638463
2019,Juni,2216243,1228409,987831,38623,193994,476288,724448,153876,634877
2019,Juli,2275461,1252316,1023140,46708,227457,475096,721132,154550,646259
2019,August,2319408,1269045,1050360,56528,242832,482873,723939,156453,662884
2019,September,2234030,1228900,1005126,48437,217637,474068,712641,153538,644973
2019,Oktober,2204090,1216110,987976,44040,197996,476379,709709,153590,638645
2019,November,2179999,1212429,967567,42138,190753,474495,698344,151759,631676
2019,Dezember,2227159,1251971,975181,41555,191898,484939,697321,152975,646694
2020,Januar,2425523,1386183,1039335,42210,208263,528647,723727,161075,704838
2020,Februar,2395604,1374634,1020967,42578,216299,520213,714265,159074,697789
2020,März,2335367,1334677,1000686,41786,211564,507878,708728,157523,685542
2020,April,2643744,1497788,1145947,46705,250640,552449,750807,167997,784657
2020,Mai,2812986,1588912,1224064,49835,274075,569880,779661,171465,849058
2020,Juni,2853307,1609473,1243824,49254,277452,574860,807850,173707,870042
2020,Juli,2910008,1634377,1275614,52756,295501,580852,836608,175188,879660
2020,August,2955487,1650451,1305023,65198,324139,586849,862610,177722,887317
2020,September,2847148,1593462,1253673,57358,292378,578816,878513,174918,857928
2020,Oktober,2759780,1543552,1216216,51742,261002,580143,898007,173709,827266
2020,November,2699133,1511017,1188101,47869,240622,580950,911314,171827,807213
2020,Dezember,2707242,1522623,1184609,46430,236401,589336,928893,172089,803987
2021,Januar,2900663,1645615,1255034,46914,250943,637744,989371,180047,858117
2021,Februar,2904413,1652121,1252278,48242,263236,635578,1009801,178815,866497
2021,März,2827449,1597806,1229633,46384,254063,621496,1031329,176370,854298
2021,April,2771232,1549842,1221376,43671,240634,615094,1068664,176972,845006
2021,Mai,2687191,1497324,1189856,41521,228282,603035,1064782,174195,825407
2021,Juni,2613825,1450910,1162906,39764,220041,592604,1060379,173105,801268
2021,Juli,2590310,1429126,1161171,43758,235826,582821,1051325,172700,782169
2021,August,2578471,1409225,1169236,55135,250501,575071,1046369,171965,778385
2021,September,2464793,1348685,1116098,46643,217701,565973,1029571,169485,750171
2021,Oktober,2376925,1303991,1072924,42915,194827,556014,1008123,166405,726012
2021,November,2317067,1276855,1040202,39911,183281,548210,988304,164307,706560
2021,Dezember,2329529,1293026,1036498,38529,179814,556969,977290,165441,705197
2022,Januar,2462162,1383215,1078937,38611,189134,591935,989891,170743,743016
2022,Februar,2427956,1367812,1060136,38509,193925,583084,972674,168806,733522
2022,März,2362162,1324651,1037504,37678,189134,568329,954882,166363,717252
2022,April,2309207,1286977,1022221,36420,183376,553330,934053,163757,706380
2022,Mai,2259648,1255464,1004178,35383,177667,542084,916792,161456,696945
2022,Juni,2362888,1271267,1091612,43328,193910,554334,906003,161974,807966
2022,Juli,2470243,1307009,1163224,50677,223806,561819,902001,163092,875412
2022,August,2547344,1333115,1214222,64450,248395,565587,900518,163815,922482
2022,September,2485738,1307294,1178438,58182,227373,561956,890646,161965,914372
2022,Oktober,2442345,1292810,1149531,53680,210101,557970,881446,160259,898979
2022,November,2434021,1298559,1135455,50362,202922,560146,877312,159972,891391
2022,Dezember,2453879,1322840,1131031,48914,201884,563873,870150,159884,893807
2023,Januar,2616019,1425373,1190646,49717,214984,601025,886624,165635,946763
2023,Februar,2620169,1435818,1184351,50102,223940,603941,883141,166507,947479
2023,März,2593774,1416701,1177073,49594,223073,599047,881019,166001,946260
2023,April,2585677,1402547,1183130,48452,219569,593656,884573,165441,955367
2023,Mai,2543743,1380047,1163696,46858,214540,584982,878220,163075,944796
2023,Juni,2554982,1382750,1172232,46369,217244,588136,908163,164346,950746
2023,Juli,2617192,1407399,1209793,52474,242058,591921,914776,165518,969095
2023,August,2695827,1437830,1257997,67522,267161,600918,928826,167735,1006520
2023,September,2627099,1407590,1219509,60388,244252,596321,926638,165834,989895
2023,Oktober,2607116,1403030,1204086,58865,232333,596973,927559,165676,982372
2023,November,2605732,1409875,1195857,55897,225521,602625,928417,166126,980268
2023,Dezember,2636728,1439955,1196773,55027,227072,611140,927367,166810,987148
